,Rang,Team,Spiele,Siege,Niederlagen,Unentschieden,Strafpunkte,Tore,Gegentore,Tordifferenz,Punkte
0,1,FC Heimberg,9,7,2,0,9,49,11,+38,23
1,2,FC Sarina,9,7,2,0,13,36,8,+28,23
2,3,FC Dürrenast ,9,6,0,3,22,31,15,+16,18
3,4,FC Spiez,9,5,3,1,32,28,11,+17,18
4,5,FC Steffisburg ,9,5,1,3,10,15,20,-5,16
5,6,FC Rothorn ,9,4,0,5,6,19,29,-10,12
6,7,SV Meiringen,9,2,2,5,10,11,28,-17,8
7,8,FC Reichenbach,9,1,2,6,15,13,32,-19,5
8,9,FC Thun,9,1,1,7,15,12,28,-16,4
9,10,FC Fortuna Thun,9,0,1,8,11,6,38,-32,1
