,Rang,Team,Spiele,Siege,Niederlagen,Unentschieden,Strafpunkte,Tore,Gegentore,Tordifferenz,Punkte
0,1,FC Frutigen,16,13,0,3,18,75,25,+50,39
1,2,FC Hünibach b,16,10,3,3,14,59,49,+10,33
2,3,FC Rothorn ,16,9,4,3,35,51,36,+15,31
3,4,FC Interlaken ,16,6,3,7,28,46,54,-8,21
4,5,FC Allmendingen,16,6,1,9,31,36,49,-13,19
5,6,FC Heimberg,16,4,5,7,20,44,45,-1,17
6,7,FC Fortuna Thun,16,4,3,9,12,40,57,-17,15
7,8,FC Thun,16,4,3,9,18,37,53,-16,15
8,9,SV Meiringen,16,3,4,9,13,38,58,-20,13
