,Heimteam,Gastteam,Resultat,TorschützenHeim,TorschützenGast
0,FC Frutigen,FC Rothorn ,4:0,"
Andreas Grossen
                        
                    ,
Andreas Grossen
                        
                    ,
Pascal Halter
                        
                    ,
Matthias Schmid
                        
                    ",
0,FC Fortuna Thun,FC Heimberg,1:1,"
Patrick Lehmann
                         (Penalty)
","
Luca Beldi
                        
                    "
0,FC Allmendingen,FC Thun,1:0,"
Nando Käser
                        
                    ",
0,SV Meiringen,FC Fortuna Thun,4:3,"
Andreas von Bergen
                        
                    ,
Andrin Urweider
                        
                    ,
Andreas von Bergen
                        
                    ,
Dragan Despic
                        
                    ","
Marco Odermatt
                        
                    ,
Ken Meyer
                        
                    ,
Kai Lüthi
                        
                    "
0,FC Thun,FC Frutigen,1:4,"
Jose Antonio Goncalves
                        
                    ","
Stefan Schranz
                        
                    ,
Andreas Grossen
                        
                    ,
Pascal Halter
                        
                    ,
Pascal Halter
                        
                    "
0,FC Interlaken ,FC Thun,1:7,"
Fabian Gruber
                        
                    ","
Sandro Gerber
                        
                    ,
Sandro Gerber
                        
                    ,
Sandro Gerber
                        
                    ,
Jose Luis Silva
                        
                    ,
Jose Antonio Goncalves
                        
                    ,
Jose Antonio Goncalves
                         (Penalty)
,
Samuel Wenger
                        
                    "
0,FC Frutigen,FC Hünibach b,6:2,"
Andreas Grossen
                        
                    ,
Stefan Schranz
                        
                    ,
Pirmin Häfeli
                        
                    ,
Adrian Grossen
                        
                    ,
Andreas Grossen
                        
                    ,
Matthias Brügger
                        
                    ","
Silvio Flückiger
                        
                    ,
Mathias Kämpf
                        
                    "
0,FC Fortuna Thun,FC Rothorn ,2:5,"
Samuel Elerdini
                        
                    ,
Tobias Lau
                         (Penalty)
","
Shqipron Kelmendi
                        
                    ,
Ciro Ferretti
                        
                    ,
Sandro Jörg
                        
                    ,
Ylli Kelmendi
                        
                    ,
Sandro Jörg
                        
                    "
0,FC Heimberg,SV Meiringen,6:3,"
Joël Künzi
                        
                    ,
Kris Anliker
                        
                    ,
Philipp Studer
                        
                    ,
Eigentor (Janick Egger)
,
Joël Künzi
                        
                    ,
Luca Grütter
                        
                    ","
Lars Meerstetter
                        
                    ,
Lukas Graf
                        
                    ,
Dario Egger
                        
                    "
0,FC Rothorn ,FC Heimberg,2:2,"
Sandro Jörg
                        
                    ,
Blenar Seljimi
                        
                    ","
Kris Anliker
                        
                    ,
Andreas Stucki
                        
                    "
0,FC Thun,FC Fortuna Thun,3:3,"
Jose Antonio Goncalves
                        
                    ,
Rexhep Avdyli
                        
                    ,
Jose Luis Silva
                        
                    ","
Andre Feuz
                        
                    ,
Marco Odermatt
                        
                    ,
Marc Hostettler
                        
                    "
0,FC Allmendingen,FC Frutigen,3:5,"
Lukas Spicher
                        
                    ,
Christian Schädeli
                        
                    ,
Lukas Spicher
                        
                    ","
Florian Jenzer
                        
                    ,
Eigentor (Pascal Derungs)
Pascal Derungs
                        
                    ,
Mario Reichen
                        
                    ,
Matthias Brügger
                        
                    ,
Tim Röthlisberger
                        
                    "
0,FC Hünibach b,FC Interlaken ,2:1,"
Mathias Kämpf
                        
                    ,
Mathias Kämpf
                        
                    ","
Adrian Winterle
                        
                    "
0,SV Meiringen,FC Rothorn ,4:4,"
Andreas von Bergen
                        
                    ,
Jan Fischer
                        
                    ,
Nik Zingg
                        
                    ,
Andreas von Bergen
                         (Penalty)
","
Blenar Seljimi
                        
                    ,
Flurim Kida
                        
                    ,
Flurim Kida
                        
                    ,
Blenar Seljimi
                        
                    "
0,FC Interlaken ,FC Allmendingen,7:2,"
Stefan Steiner
                        
                    ,
Adrian Winterle
                        
                    ,
Adrian Winterle
                        
                    ,
Stefan Steiner
                        
                    ,
Adrian Winterle
                        
                    ,
Adrian Winterle
                         (Penalty)
,
Ivan Lauener
                        
                    ","
Lukas Spicher
                        
                    ,
Lukas Spicher
                        
                    "
0,FC Fortuna Thun,FC Hünibach b,5:1,,
0,FC Heimberg,FC Thun,4:4,,
0,FC Hünibach b,FC Allmendingen,5:1,"
Sandro Ramseyer
                        
                    ,
Silvio Flückiger
                        
                    ,
Silvio Flückiger
                        
                    ,
Pascal Wicki
                        
                    ,
Loic Widmer
                        
                    ","
Johnny Straubhaar
                        
                    "
0,FC Interlaken ,FC Heimberg,4:3,"
Goncalo Jose Casimiro
                        
                    ,
Joao Filipe Pereira
                        
                    ,
Joao Filipe Pereira
                        
                    ,
Goncalo Jose Casimiro
                        
                    ","
Stefan Keller
                        
                    ,
Alen Jakovljevic
                        
                    ,
Bujar Jashari
                        
                    "
0,FC Allmendingen,FC Rothorn ,1:2,"
Benjamin Schädeli
                        
                    ","
Spend Bajrami
                        
                    ,
Shqipron Kelmendi
                        
                    "
0,FC Hünibach b,FC Thun,9:0,"
Kevin Burkhard
                        
                    ,
Silvio Flückiger
                        
                    ,
Loic Widmer
                        
                    ,
Kerry Mani
                        
                    ,
Silvio Flückiger
                        
                    ,
Silvio Flückiger
                        
                    ,
Loic Widmer
                        
                    ,
Kevin Burkhard
                        
                    ,
Kevin Burkhard
                        
                    ",
0,SV Meiringen,FC Interlaken ,1:4,"
Urs Steinacher
                        
                    ",
0,FC Thun,FC Allmendingen,2:5,"
Samuel Wenger
                        
                    ,
Jose Luis Silva
                        
                    ","
Tony Matti
                        
                    ,
Tony Matti
                        
                    ,
Tony Matti
                        
                    ,
Benjamin Schädeli
                        
                    ,
Pascal Derungs
                        
                    "
0,FC Heimberg,FC Fortuna Thun,4:3,,
0,FC Interlaken ,FC Rothorn ,2:2,"
Goncalo Jose Casimiro
                        
                    ,
Goncalo Jose Casimiro
                        
                    ","
Thomas Eggenberg
                        
                    ,
Roman Eggler
                        
                    "
0,FC Frutigen,FC Thun,5:2,,
0,FC Allmendingen,FC Hünibach b,4:6,,
0,FC Fortuna Thun,SV Meiringen,5:2,"
Eigentor (Markus Hofmann)
,
Ryan McCabe
                        
                    ,
Ken Meyer
                        
                    ,
Ryan McCabe
                        
                    ,
Ryan McCabe
                        
                    ","
Dario Egger
                        
                    ,
Andreas von Bergen
                        
                    "
0,FC Rothorn ,FC Frutigen,2:1,,
0,SV Meiringen,FC Heimberg,1:5,"
Urs Steinacher
                        
                    ","
Kris Anliker
                        
                    ,
Kilian Gerber
                        
                    ,
Kilian Gerber
                        
                    ,
Kilian Gerber
                        
                    ,
Kilian Gerber
                        
                    "
0,FC Thun,FC Interlaken ,3:3,"
Samuel Wenger
                        
                    ,
Nicolas Michel
                        
                    ,
Jose Luis Silva
                        
                    ","
Albinos Lekaj
                        
                    ,
Silas Glaser
                        
                    ,
Joao Filipe Pereira
                        
                    "
0,FC Rothorn ,FC Fortuna Thun,6:0,,
0,FC Hünibach b,FC Frutigen,3:2,"
Silvio Flückiger
                        
                    ,
Patrick Miguel Figueiredo
                         (Penalty)
,
Michael Schönthal
                        
                    ","
Timo Büschlen
                        
                    ,
Timo Büschlen
                        
                    "
0,FC Frutigen,SV Meiringen,4:3,,"
Lars Meerstetter
                        
                    ,
Urs Steinacher
                        
                    ,
Urs Steinacher
                        
                    "
0,FC Interlaken ,FC Hünibach b,8:1,"
Joao Filipe Pereira
                        
                    ,
Joao Filipe Pereira
                        
                    ,
Ivan Lauener
                        
                    ,
Joao Filipe Pereira
                        
                    ,
Joao Alexandre Nogueira
                        
                    ,
Joao Filipe Pereira
                        
                    ,
Pedro Emanuel Lemos
                        
                    ,
Adrian Winterle
                        
                    ","
Silvio Flückiger
                        
                    "
0,FC Frutigen,FC Allmendingen,1:4,"
Roman Zurbrügg
                        
                    ","
Luca Indermühle
                        
                    ,
Benjamin Schädeli
                        
                    ,
Benjamin Schädeli
                        
                    ,
Sven Leichtnam
                        
                    "
0,FC Fortuna Thun,FC Thun,1:3,,
0,FC Heimberg,FC Rothorn ,3:4,"
Akbar Hassani
                        
                    ,
Kilian Gerber
                        
                    ,
Alen Jakovljevic
                        
                    ","
Flurim Kida
                        
                    ,
Thomas Eggenberg
                        
                    ,
Spend Bajrami
                        
                    ,
Blenar Seljimi
                        
                    "
0,FC Thun,FC Heimberg,2:1,"
Patrick Herzig
                        
                    ,
Patrick Herzig
                        
                    ","
Florian Schmid
                        
                    "
0,FC Rothorn ,SV Meiringen,2:2,,"
Andreas von Bergen
                        
                    ,
Lars Meerstetter
                        
                    "
0,FC Allmendingen,FC Interlaken ,2:5,"
Nando Käser
                        
                    ,
Sandro Briggen
                        
                    ","
Ruben Ferreira
                        
                    ,
Joao Filipe Pereira
                        
                    ,
Joel Maia
                        
                    ,
Joao Filipe Pereira
                        
                    ,
Pedro Emanuel Lemos
                        
                    "
0,FC Hünibach b,FC Fortuna Thun,3:3,"
Olivier Wicki
                        
                    ,
Loic Widmer
                        
                    ,
Silvio Flückiger
                        
                    ","
Ramon Schneider
                        
                    ,
Ryan McCabe
                        
                    ,
Ryan McCabe
                        
                    "
0,FC Interlaken ,FC Frutigen,0:8,,
0,SV Meiringen,FC Thun,3:2,"
Andreas von Bergen
                        
                    ,
Andreas von Bergen
                        
                    ,
Nik Zingg
                        
                    ",
0,FC Fortuna Thun,FC Allmendingen,5:4,"
Samuel Elerdini
                        
                    ,
Ken Meyer
                        
                    ,
Samuel Elerdini
                        
                    ,
Daniel Schafroth
                        
                    ,
Samuel Elerdini
                        
                    ","
Lukas Spicher
                        
                    ,
Lukas Spicher
                        
                    ,
Luca Indermühle
                        
                    ,
Sven Leichtnam
                         (Penalty)
"
0,FC Heimberg,FC Hünibach b,3:3,"
Kilian Gerber
                        
                    ,
Florian Schmid
                        
                    ,
Akbar Hassani
                        
                    ","
Kevin Burkhard
                        
                    ,
Kevin Burkhard
                         (Penalty)
,
Kevin Burkhard
                        
                    "
0,FC Frutigen,FC Fortuna Thun,10:0,"
Yannick Schmid
                        
                    ,
Andreas Grossen
                        
                    ,
Andreas Grossen
                        
                    ,
Yannick Schmid
                        
                    ,
Eigentor (Daniel Schafroth)
,
Florian Jenzer
                        
                    ,
Yannick Schmid
                        
                    ,
Matthias Brügger
                        
                    ,
Adrian Grossen
                        
                    ,
Roman Zurbrügg
                        
                    ",
0,FC Thun,FC Rothorn ,2:5,,
0,FC Hünibach b,SV Meiringen,3:3,,"
Andreas von Bergen
                        
                    ,
Lars Meerstetter
                        
                    ,
Sven Kuonen
                        
                    "
0,FC Allmendingen,FC Heimberg,2:1,,
0,SV Meiringen,FC Allmendingen,1:1,"
Lars Meerstetter
                        
                    ","
Tony Matti
                        
                    "
0,FC Fortuna Thun,FC Interlaken ,1:4,,
0,FC Rothorn ,FC Hünibach b,4:5,"
Spend Bajrami
                        
                    ,
Shqipron Kelmendi
                        
                    ,
Spend Bajrami
                        
                    ,
Shqipron Kelmendi
                        
                    ","
Kevin Burkhard
                        
                    ,
Loic Widmer
                        
                    ,
Silvio Flückiger
                        
                    ,
Kevin Burkhard
                        
                    ,
Kevin Burkhard
                        
                    "
0,FC Heimberg,FC Frutigen,1:6,"
Akbar Hassani
                        
                    ","
Matthias Schmid
                        
                    ,
Silvan Rüegsegger
                        
                    ,
Matthias Schmid
                        
                    ,
Matthias Schmid
                        
                    ,
André Hari
                        
                    ,
Andreas Grossen
                        
                    "
